GTCBSA,HEHOUSUT,HETENURE,HEFAMINC,PEEDUCA,PEMLR,PESEX,PEMARITL,PWCMPWGT,HRNUMHOU,PWFMWGT,PWLGWGT,PWORWGT,PWSSWGT,Year,Month
12060,1,1,14,42,7,2,1,3293.6723,4,3516.3166,4969.9022,0.0000,3516.3166,2014,jan
29820,1,2,7,-1,-1,1,-1,0.0000,3,1331.4766,0.0000,0.0000,1331.4766,2011,jan
37100,1,1,15,43,1,2,1,2887.1087,3,2880.2170,0.0000,0.0000,2880.2170,2014,jan
30340,1,2,7,-1,-1,2,-1,0.0000,3,1119.3707,0.0000,0.0000,1119.3707,2019,jan
24340,1,1,16,40,7,1,6,3091.9648,5,3162.1240,4565.8762,0.0000,3162.1240,2017,jan
0,1,1,11,42,1,2,1,850.5289,2,839.4694,1211.4517,3340.5602,839.4694,2020,jan
0,1,-1,11,40,5,2,4,5167.0289,1,5157.7552,0.0000,0.0000,5157.7552,2024,jan
33100,1,1,2,-1,-1,1,-1,0.0000,5,4595.5369,0.0000,0.0000,4595.5369,2012,jan
31080,1,1,16,39,1,1,2,4072.2605,2,4036.8129,5983.1259,16584.9407,4036.8129,2023,jan
10740,1,1,14,43,1,1,6,1688.0234,4,1690.9154,0.0000,0.0000,1690.9154,2021,jan
43340,5,1,15,39,1,1,1,1435.3281,4,1012.5243,2110.2015,0.0000,1461.4323,2017,jan
0,1,1,2,39,1,1,1,1434.8831,4,1009.0609,0.0000,0.0000,1426.5906,2018,jan
0,1,1,14,39,1,2,6,553.9971,4,534.0494,0.0000,2144.5220,534.0494,2021,jan
0,1,1,15,36,7,1,6,2516.5083,6,2477.2665,3702.7702,0.0000,2477.2665,2021,jan
36540,1,1,12,40,1,2,1,672.6829,2,678.0018,958.7224,0.0000,678.0018,2010,jan
47260,1,2,15,40,1,1,6,6248.3776,3,6424.1854,0.0000,0.0000,6424.1854,2022,jan
49340,1,1,13,44,1,2,6,2629.9830,1,2615.6167,0.0000,0.0000,2615.6167,2019,jan
39300,1,1,11,39,1,1,6,721.6696,3,730.5725,1045.5998,2924.0243,730.5725,2015,jan
0,1,1,14,-1,-1,2,-1,0.0000,6,955.2824,0.0000,0.0000,955.2824,2021,jan
